#{"t_start": 1741011588.410749, "env_id": "None"}
r,l,t
0.084406,31,2430.735632
0.167016,31,2433.380153
0.988684,31,2436.021997
0.281318,31,2438.593816
0.20339,31,2441.176728
0.307347,31,2443.756642
0.250171,31,2446.35034
0.153736,31,2448.936404
0.514073,31,2451.64677
-0.02637,31,2454.222864
0.838308,31,2456.813164
0.207805,31,2459.400224
0.029353,31,2461.986858
0.356198,31,2464.570611
0.158905,31,2467.152718
0.195328,31,2469.748577
0.278229,31,2472.496168
0.152493,31,2475.13116900.161694,31,2477.78289
0.208042,31,2480.421762
0.032746,31,2483.054502
0.194109,31,2485.695004
0.624828,31,2488.335129
0.467632,31,2490.97836
0.387106,31,2493.624098
0.076749,31,2496.374221
0.128664,31,2498.953943
0.205086,31,2501.528825
0.988726,31,2504.113052
0.705433,31,2506.704849
0.367635,31,2509.279062
0.044404,31,2511.847322
0.230306,31,2514.417017
0.135103,31,2516.99893
0.35088,31,2519.687397
0.353716,31,2522.270767
0.200064,31,2524.842533
-0.061748,31,2527.408089
0.830489,31,2529.978862
0.313176,31,2532.541942
-0.066445,31,2535.106489
